| OpId                                |   # |  CPU   |  CUDA  |  ROCm  | Vulkan | OneAPI |
| MaxPool2dBackward                   | 191 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool2dForward                    | 192 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool2dBackward                   | 193 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool2d                   | 194 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool2dBackward           | 195 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool2d                   | 196 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool2dBackward           | 197 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Unfold                              | 200 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Fold                                | 201 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Interpolate                         | 202 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ROIAlignForward                     | 203 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ROIAlignBackward                    | 204 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BoxIoU                              | 205 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GatherRelativePositionBias          | 206 |   Y    |   Y    |   Y    |   Y    |   Y    |
| NMS                                 | 207 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GridSample                          | 208 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AffineGrid                          | 209 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedLinearReLU                     | 210 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedConv2dReLU                     | 211 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedBatchNormReLU                  | 212 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedSoftmaxCrossEntropy            | 213 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAddReLU                        | 214 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedGelu                           | 215 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedLayerNorm                      | 216 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedRMSNorm                        | 217 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAttention                      | 218 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedSGDStep                        | 219 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAdamStep                       | 220 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedRMSPropStep                    | 221 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAdadeltaStep                   | 222 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAdagradStep                    | 223 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedAdamAtan2Step                  | 224 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedConv2dSigmoid                  | 225 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedConv2dTanh                     | 226 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedConv2dSwish                    | 227 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedConv2dBnReLU                   | 228 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FusedLayerNormBackward              | 229 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Zeros                               | 230 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Ones                                | 231 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Full                                | 232 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Rand                                | 233 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Randn                               | 234 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Arange                              | 235 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Linspace                            | 236 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Eye                                 | 237 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Randint                             | 238 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LSTMCellForward                     | 250 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LSTMCellBackward                    | 251 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GRUCellForward                      | 252 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GRUCellBackward                     | 253 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LSTMForward                         | 254 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GRUForward                          | 255 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LSTMMultiLayerForward               | 256 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GRUMultiLayerForward                | 257 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BiLSTMForward                       | 258 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Embedding                           | 260 |   Y    |   Y    |   Y    |   Y    |   Y    |
| EmbeddingBackward                   | 261 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Linear                              | 270 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinearBackward                      | 271 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Dropout                             | 280 |   Y    |   Y    |   Y    |   Y    |   Y    |
| DropoutBackward                     | 281 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Constant                            | 285 |   -    |   -    |   -    |   -    |   -    |
| Input                               | 286 |   -    |   -    |   -    |   -    |   -    |
| Output                              | 287 |   -    |   -    |   -    |   -    |   -    |
| TopK                                | 290 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sort                                | 291 |   Y    |   Y    |   Y    |   Y    |   Y    |
| CumSum                              | 292 |   Y    |   Y    |   Y    |   Y    |   Y    |
| CumProd                             | 293 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Unique                              | 294 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FlashAttention                      | 295 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FlashAttentionBackward              | 296 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv3dForward                       | 301 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv3dBackwardInput                 | 302 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv3dBackwardWeight                | 303 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conv3dBackwardBias                  | 304 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaxPool3dForward                    | 305 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaxPool3dBackward                   | 306 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool3dForward                    | 307 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool3dBackward                   | 308 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool3d                   | 309 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool3dBackward           | 310 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool3d                   | 311 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool3dBackward           | 312 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Cast                                | 316 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Log2                                | 320 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Log10                               | 321 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Log1p                               | 322 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Exp2                                | 323 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Expm1                               | 324 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Erf                                 | 325 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Erfc                                | 326 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IsNan                               | 327 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IsInf                               | 328 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IsFinite                            | 329 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Atan2                               | 330 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Fmod                                | 331 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Remainder                           | 332 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Lerp                                | 333 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Triu                                | 340 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Tril                                | 341 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Diag                                | 342 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Trace                               | 343 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Flip                                | 344 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Roll                                | 345 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LogicalAnd                          | 350 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LogicalOr                           | 351 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LogicalNot                          | 352 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LogicalXor                          | 353 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Minimum                             | 360 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Maximum                             | 361 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Cross                               | 362 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaxPool1dForward                    | 370 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MaxPool1dBackward                   | 371 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool1dForward                    | 372 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AvgPool1dBackward                   | 373 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool1d                   | 374 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveMaxPool1dBackward           | 375 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool1d                   | 376 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AdaptiveAvgPool1dBackward           | 377 |   Y    |   Y    |   Y    |   Y    |   Y    |
| SearchSorted                        | 390 |   Y    |   Y    |   Y    |   Y    |   Y    |
| GumbelSoftmax                       | 391 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FFT                                 | 400 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IFFT                                | 401 |   Y    |   Y    |   Y    |   Y    |   Y    |
| RFFT                                | 402 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IRFFT                               | 403 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FFT2                                | 404 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IFFT2                               | 405 |   Y    |   Y    |   Y    |   Y    |   Y    |
| FFTN                                | 406 |   Y    |   Y    |   Y    |   Y    |   Y    |
| IFFTN                               | 407 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ScatterAdd                          | 410 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgDet                           | 420 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgInv                           | 421 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgSolve                         | 422 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgSVD                           | 423 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgQR                            | 424 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgEigh                          | 425 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgEig                           | 426 |   Y    |   Y    |   Y    |   Y    |   Y    |
| LinalgCholesky                      | 427 |   Y    |   Y    |   Y    |   Y    |   Y    |
| StridedFill                         | 428 |   Y    |   Y    |   Y    |   Y    |   Y    |
| QuantizedLinear                     | 429 |   Y    |   Y    |   Y    |   Y    |   Y    |
| QuantizedConv2d                     | 430 |   Y    |   Y    |   Y    |   Y    |   Y    |
| EmbeddingWithBoundsCheck            | 431 |   Y    |   Y    |   Y    |   Y    |   Y    |
| WinogradConv2d                      | 432 |   -    |   -    |   -    |   -    |   -    |
| LogSumExp                           | 433 |   Y    |   Y    |   Y    |   Y    |   Y    |
| HasInfNan                           | 434 |   Y    |   Y    |   Y    |   Y    |   Y    |
| EmbeddingBagForward                 | 435 |   Y    |   Y    |   Y    |   Y    |   Y    |
| EmbeddingBagBackward                | 436 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Conj                                | 440 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Real                                | 441 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Imag                                | 442 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Angle                               | 443 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Polar                               | 444 |   Y    |   Y    |   Y    |   Y    |   Y    |
| STFT                                | 470 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ISTFT                               | 471 |   Y    |   Y    |   Y    |   Y    |   Y    |
| CDist                               | 472 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Multinomial                         | 480 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Bernoulli                           | 481 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Histogram                           | 482 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Bucketize                           | 483 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Gamma                               | 490 |   Y    |   -    |   -    |   -    |   -    |
| Lgamma                              | 491 |   Y    |   -    |   -    |   -    |   -    |
| Digamma                             | 492 |   Y    |   -    |   -    |   -    |   -    |
| Polygamma                           | 493 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Beta                                | 494 |   Y    |   -    |   -    |   -    |   -    |
| BetaInc                             | 495 |   Y    |   Y    |   Y    |   Y    |   Y    |
| BesselJ0                            | 496 |   Y    |   -    |   -    |   -    |   -    |
| BesselJ1                            | 497 |   Y    |   -    |   -    |   -    |   -    |
| BesselY0                            | 498 |   Y    |   -    |   -    |   -    |   -    |
| BesselY1                            | 499 |   Y    |   -    |   -    |   -    |   -    |
| BesselI0                            | 500 |   Y    |   -    |   -    |   -    |   -    |
| BesselI1                            | 501 |   Y    |   -    |   -    |   -    |   -    |
| ErfInv                              | 502 |   Y    |   -    |   -    |   -    |   -    |
| Sinc                                | 503 |   Y    |   -    |   -    |   -    |   -    |
| Zeta                                | 504 |   Y    |   -    |   -    |   -    |   -    |
| LinalgLU                            | 510 |   Y    |   -    |   -    |   -    |   -    |
| LinalgLUSolve                       | 511 |   Y    |   -    |   -    |   -    |   -    |

## Summary

Total operations: 316 (excluding 9 reserved)

| Backend    | Registered | Fallback | Missing | Coverage |
|------------|------------|----------|---------|----------|
| CPU        |        312 |        0 |       4 |    98.7% |
| CUDA       |        297 |        0 |      19 |    94.0% |
| ROCm       |        297 |        0 |      19 |    94.0% |
| Vulkan     |        297 |        0 |      19 |    94.0% |
| OneAPI     |        297 |        0 |      19 |    94.0% |

Legend: Y = native kernel, F = CPU fallback, - = missing, * = reserved/unused
